TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36933606,65065,001,2015-02-27 00:00:00.000000000,10:40,03189,374529
36933607,65065,001,2015-02-27 00:00:00.000000000,11:17,03189,0
36933608,65065,001,2015-02-27 00:00:00.000000000,11:22,03189,0
36933610,65065,001,2015-02-27 00:00:00.000000000,14:11,00047,2043858
36933611,65065,001,2015-02-27 00:00:00.000000000,14:12,00047,0
36933614,650601,002,2015-02-27 00:00:00.000000000,20:11,12528,68986
36933615,650601,002,2015-02-27 00:00:00.000000000,20:52,12528,2043527
36933634,65060,001,2015-02-27 00:00:00.000000000,17:36,12528,1958592
36933639,65060,001,2015-02-27 00:00:00.000000000,20:45,12528,0
36933658,65063,001,2015-02-27 00:00:00.000000000,11:24,13595,90230
36933659,65063,001,2015-02-27 00:00:00.000000000,12:28,13595,1835982
36933660,65063,001,2015-02-27 00:00:00.000000000,14:34,13595,980193
36933661,65063,001,2015-02-27 00:00:00.000000000,15:20,13595,1954716
36933662,65063,001,2015-02-27 00:00:00.000000000,16:57,13595,1925159
36933664,65063,001,2015-02-27 00:00:00.000000000,18:20,00194,90320
36933665,65063,001,2015-02-27 00:00:00.000000000,19:08,00194,442311
36933667,65063,001,2015-02-27 00:00:00.000000000,19:14,00194,91005
36933673,650601,002,2015-02-27 00:00:00.000000000,11:11,06632,1274925
36933675,650601,002,2015-02-27 00:00:00.000000000,20:46,12528,2043527
36933689,65063,001,2015-02-27 00:00:00.000000000,18:03,00194,225572
36933690,65063,001,2015-02-27 00:00:00.000000000,18:58,00194,0
36933691,65063,001,2015-02-27 00:00:00.000000000,19:31,00194,0
36933702,65065,001,2015-02-27 00:00:00.000000000,11:16,03189,0
36933708,65063,001,2015-02-27 00:00:00.000000000,18:00,00194,1768257
36933709,65063,001,2015-02-27 00:00:00.000000000,18:23,00194,0
36933712,65063,001,2015-02-27 00:00:00.000000000,19:30,00194,0
36933713,65063,001,2015-02-27 00:00:00.000000000,20:01,00194,0
36933721,65065,001,2015-02-27 00:00:00.000000000,12:23,03189,13959
36933722,65065,001,2015-02-27 00:00:00.000000000,14:34,00047,2039232
36933724,65065,001,2015-02-27 00:00:00.000000000,16:45,00047,336819
36933742,65063,001,2015-02-27 00:00:00.000000000,14:00,13595,1823375
36933744,65063,001,2015-02-27 00:00:00.000000000,15:12,13595,1959377
36933762,65063,001,2015-02-27 00:00:00.000000000,12:52,13595,2021414
36933766,65063,001,2015-02-27 00:00:00.000000000,21:07,00194,2043972
36933771,65065,001,2015-02-27 00:00:00.000000000,13:59,00047,2043746
36933773,65065,001,2015-02-27 00:00:00.000000000,14:16,00047,2043858
36933775,65065,001,2015-02-27 00:00:00.000000000,15:10,00047,0
36933777,65065,001,2015-02-27 00:00:00.000000000,16:26,00047,2043693
36933778,65065,001,2015-02-27 00:00:00.000000000,17:47,00047,96304
36933779,65065,001,2015-02-27 00:00:00.000000000,18:19,00047,0
36933780,65065,001,2015-02-27 00:00:00.000000000,19:09,00047,0
36933781,65065,001,2015-02-27 00:00:00.000000000,20:40,00047,1905471
36933782,65065,001,2015-02-27 00:00:00.000000000,20:47,00047,1382070
36933783,65065,001,2015-02-27 00:00:00.000000000,14:19,00047,2043747
36933786,65065,001,2015-02-27 00:00:00.000000000,17:26,00047,94979
36933821,65065,001,2015-02-27 00:00:00.000000000,15:13,00047,787961
36933825,65065,001,2015-02-27 00:00:00.000000000,17:51,00047,13688
36933840,65063,001,2015-02-27 00:00:00.000000000,15:15,13595,2038588
36933844,65063,001,2015-02-27 00:00:00.000000000,19:22,00194,678125
36933846,65063,001,2015-02-27 00:00:00.000000000,20:21,00194,2043966
36933852,65065,001,2015-02-27 00:00:00.000000000,12:04,03189,1837122
36933853,65065,001,2015-02-27 00:00:00.000000000,13:05,03189,0
36933857,65065,001,2015-02-27 00:00:00.000000000,14:13,00047,2043747
36933859,65065,001,2015-02-27 00:00:00.000000000,17:19,00047,96935
36933861,65065,001,2015-02-27 00:00:00.000000000,18:50,00047,2043695
36933864,65065,001,2015-02-27 00:00:00.000000000,21:16,00047,0
36933878,65063,001,2015-02-27 00:00:00.000000000,16:02,13595,708843
36933881,65063,001,2015-02-27 00:00:00.000000000,18:24,00194,0
36933882,65063,001,2015-02-27 00:00:00.000000000,19:35,00194,1785568
36933885,65063,001,2015-02-27 00:00:00.000000000,21:06,00194,2043972
36933886,65063,001,2015-02-27 00:00:00.000000000,21:12,00194,0
36933891,65065,001,2015-02-27 00:00:00.000000000,12:41,03189,0
36933892,65065,001,2015-02-27 00:00:00.000000000,13:00,03189,0
36933893,65065,001,2015-02-27 00:00:00.000000000,13:09,03189,13959
36933896,65065,001,2015-02-27 00:00:00.000000000,14:03,00047,2043746
36933919,65063,001,2015-02-27 00:00:00.000000000,14:17,13595,118031
36933922,65063,001,2015-02-27 00:00:00.000000000,16:18,13595,444860
36933926,65063,001,2015-02-27 00:00:00.000000000,20:15,00194,2043966
36933927,65063,001,2015-02-27 00:00:00.000000000,20:24,00194,2043966
36933928,65063,001,2015-02-27 00:00:00.000000000,20:54,00194,1839570
36933943,65067,001,2015-02-27 00:00:00.000000000,13:03,04467,261403
36933944,65067,001,2015-02-27 00:00:00.000000000,15:18,04467,0
36933945,65067,001,2015-02-27 00:00:00.000000000,17:03,04467,1015766
36933949,65067,001,2015-02-27 00:00:00.000000000,21:04,12757,2011874
36933950,65067,001,2015-02-27 00:00:00.000000000,21:13,12757,1791134
36933951,65067,001,2015-02-27 00:00:00.000000000,21:18,12757,1457940
36933953,65067,001,2015-02-27 00:00:00.000000000,22:03,12757,1412254
36933954,65065,001,2015-02-27 00:00:00.000000000,14:22,00047,323473
36933955,65065,001,2015-02-27 00:00:00.000000000,19:52,00047,349435
36933956,65065,001,2015-02-27 00:00:00.000000000,20:55,00047,417714
36933971,65067,001,2015-02-27 00:00:00.000000000,12:55,04467,1837028
36933979,65067,001,2015-02-27 00:00:00.000000000,13:01,04467,2014647
36933980,65067,001,2015-02-27 00:00:00.000000000,13:25,04467,2043750
36933981,65067,001,2015-02-27 00:00:00.000000000,15:09,04467,1396363
36933982,65067,001,2015-02-27 00:00:00.000000000,15:26,04467,0
36934006,65067,001,2015-02-27 00:00:00.000000000,18:35,12757,270993
36934007,65067,001,2015-02-27 00:00:00.000000000,19:58,12757,27136
36934014,65065,001,2015-02-27 00:00:00.000000000,16:58,00047,2043694
36934018,65065,001,2015-02-27 00:00:00.000000000,19:25,00047,1750681
36934019,65065,001,2015-02-27 00:00:00.000000000,20:04,00047,1700819
36934021,65065,001,2015-02-27 00:00:00.000000000,20:44,00047,1439247
36934030,65065,001,2015-02-27 00:00:00.000000000,11:51,03189,2043553
36934031,65065,001,2015-02-27 00:00:00.000000000,13:48,00047,86565
36934032,65065,001,2015-02-27 00:00:00.000000000,13:54,00047,2043858
36934038,65065,001,2015-02-27 00:00:00.000000000,15:25,00047,135088
36934040,65065,001,2015-02-27 00:00:00.000000000,15:47,00047,1921782
36934041,65065,001,2015-02-27 00:00:00.000000000,16:51,00047,13195
36934043,65065,001,2015-02-27 00:00:00.000000000,16:56,00047,138608
36934045,65065,001,2015-02-27 00:00:00.000000000,19:50,00047,349435
36934047,65065,001,2015-02-27 00:00:00.000000000,20:33,00047,1982806
36934049,65067,001,2015-02-27 00:00:00.000000000,19:02,12757,0
36934053,650671,002,2015-02-27 00:00:00.000000000,14:22,04467,2025319
36934054,650671,002,2015-02-27 00:00:00.000000000,14:51,04467,164614
36934055,650671,002,2015-02-27 00:00:00.000000000,16:53,04467,0
36934060,650671,002,2015-02-27 00:00:00.000000000,19:40,12757,1111792
36934073,650671,002,2015-02-27 00:00:00.000000000,16:16,04467,906493
36934074,650671,002,2015-02-27 00:00:00.000000000,16:31,04467,792430
36934077,650671,002,2015-02-27 00:00:00.000000000,18:14,12757,1898418
36934078,650671,002,2015-02-27 00:00:00.000000000,18:17,12757,713638
36934087,65067,001,2015-02-27 00:00:00.000000000,16:16,04467,1020669
36934088,65067,001,2015-02-27 00:00:00.000000000,16:30,04467,341244
