barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
190114563,19,CELEBRATIONS/10,011,BATH & BODY,0000000015839,GIFT BUTTER TRIO B  XM10,UNKNOWN,,,,,,,Grams,1
2000000142210,19,CELEBRATIONS/10,011,BATH & BODY,0000000015839,GIFT BUTTER TRIO B  XM10,UNKNOWN,,,,,,,Grams,1
190114555,19,CELEBRATIONS/10,011,BATH & BODY,0000000015840,GIFT BUTTER TRIO  A XM10,UNKNOWN,,,,,,,Grams,1
2000000142227,19,CELEBRATIONS/10,011,BATH & BODY,0000000015840,GIFT BUTTER TRIO  A XM10,UNKNOWN,,,,,,,Grams,1
190114547,19,CELEBRATIONS/10,011,BATH & BODY,0000000015841,GIFT BUTTER MOM AND BABY XM10,UNKNOWN,,,,,,,Grams,1
2000000142234,19,CELEBRATIONS/10,011,BATH & BODY,0000000015841,GIFT BUTTER MOM AND BABY XM10,UNKNOWN,,,,,,,Grams,1
2000000142241,50,GWP/15,999,OTHERS,0000000015842,GWP - ICE BLUE SHAMPOO 250ML,UNKNOWN,,,,,,,Grams,1
509993128,50,GWP/15,999,OTHERS,0000000015842,GWP - ICE BLUE SHAMPOO 250ML,UNKNOWN,,,,,,,Grams,1
2000000142258,50,GWP/15,999,OTHERS,0000000015843,GWP - GREEN APPLE B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
509993095,50,GWP/15,999,OTHERS,0000000015843,GWP - GREEN APPLE B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
2000000142265,50,GWP/15,999,OTHERS,0000000015844,GWP-FUZZY PEACH B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
509993102,50,GWP/15,999,OTHERS,0000000015844,GWP-FUZZY PEACH B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
2000000142272,50,GWP/15,999,OTHERS,0000000015845,GWP - DEWBERRY B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
509993110,50,GWP/15,999,OTHERS,0000000015845,GWP - DEWBERRY B/S GEL 250ML,UNKNOWN,,,,,,,Grams,1
2000000142289,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015846,GIFT BAG MORROCAN XM 10,UNKNOWN,,,,,,,Grams,1
190122483,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015847,GIFT BAG LOVE ETC  XM 10,UNKNOWN,,,,,,,Grams,1
2000000142296,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015847,GIFT BAG LOVE ETC  XM 10,UNKNOWN,,,,,,,Grams,1
190122475,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015848,GIFT POUCH LOVE ETC W/ LOT XM10,UNKNOWN,,,,,,,Grams,1
2000000142302,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015848,GIFT POUCH LOVE ETC W/ LOT XM10,UNKNOWN,,,,,,,Grams,1
190122491,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015849,GIFT POUCH NEROLI FRESH  XM10,UNKNOWN,,,,,,,Grams,1
2000000142319,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015849,GIFT POUCH NEROLI FRESH  XM10,UNKNOWN,,,,,,,Grams,1
190122508,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015850,GIFT BAG COS NEROLI  XM10,UNKNOWN,,,,,,,Grams,1
2000000142326,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015850,GIFT BAG COS NEROLI  XM10,UNKNOWN,,,,,,,Grams,1
190122516,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015851,GIFT BAG NEROLI SEDUCTION  XM10,UNKNOWN,,,,,,,Grams,1
2000000142333,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015851,GIFT BAG NEROLI SEDUCTION  XM10,UNKNOWN,,,,,,,Grams,1
190122524,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015852,GIFT POUCH AQUALILY FRESH  XM10,UNKNOWN,,,,,,,Grams,1
2000000142340,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015852,GIFT POUCH AQUALILY FRESH  XM10,UNKNOWN,,,,,,,Grams,1
190122532,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015853,GIFT BAG AQUA LILY XM10,UNKNOWN,,,,,,,Grams,1
2000000142357,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015853,GIFT BAG AQUA LILY XM10,UNKNOWN,,,,,,,Grams,1
190122441,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015854,GIFT POUCH MOROCCAN FRESH  XM10,UNKNOWN,,,,,,,Grams,1
2000000142364,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015854,GIFT POUCH MOROCCAN FRESH  XM10,UNKNOWN,,,,,,,Grams,1
190122459,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015855,GIFT POUCH MOROCCAN DAILY XM10,UNKNOWN,,,,,,,Grams,1
2000000142371,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015855,GIFT POUCH MOROCCAN DAILY XM10,UNKNOWN,,,,,,,Grams,1
190122467,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015856,GIFT POUCH LOVE ETC W/ BUTTER XM 10,UNKNOWN,,,,,,,Grams,1
2000000142388,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015856,GIFT POUCH LOVE ETC W/ BUTTER XM 10,UNKNOWN,,,,,,,Grams,1
190122540,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015865,XMAS COS BAG PACK 2010,UNKNOWN,,,,,,,Grams,1
2000000142449,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015865,XMAS COS BAG PACK 2010,UNKNOWN,,,,,,,Grams,1
190160144,19,CELEBRATIONS/10,016,HOME FRAGRANCE,0000000015866,GIFT BOX HOME FRA XM 10,UNKNOWN,,,,,,,Grams,1
2000000142456,19,CELEBRATIONS/10,016,HOME FRAGRANCE,0000000015866,GIFT BOX HOME FRA XM 10,UNKNOWN,,,,,,,Grams,1
190122558,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015867,GIFT BOX COUPLE AQUA LILY,UNKNOWN,,,,,,,Grams,1
2000000142463,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015867,GIFT BOX COUPLE AQUA LILY,UNKNOWN,,,,,,,Grams,1
